Network_port	Valve_port	Hours	t0
1	1	1,2,3,4	March 10, 2244 at 1:51:18 PM PST
1	1	1,2	March 12, 2250 at 1:51:18 PM PST
1	1	1	March 13, 2230 at 1:51:18 PM PST
1	1	1,2,3,4,5,6,7,8,9	March 3, 2254 at 1:51:18 PM PST
1	1	1,2,3,4,5,6,7,8,9	March 1, 2260 at 1:51:18 PM PST
1	1	1,2,3,4,5	March 3, 2289 at 1:51:18 PM PST
1	1	1,2,3,4	March 13, 2250 at 1:51:18 PM PST
1	1	1,2,3,4,5,6	March 5, 2272 at 1:51:18 PM PST
1	1	1,2,3,4,5,6,7	March 10, 2215 at 1:51:18 PM PST
1	1	1,2,3,4,5	March 9, 2250 at 1:51:18 PM PST
1	1	1	March 2, 2217 at 1:51:18 PM PST
1	1	1,2,3	March 7, 2230 at 1:51:18 PM PST
1	1	1,2,3,4	March 9, 2275 at 1:51:18 PM PST
